Name,Latitude,Longitude,Category
Café Daguerre,48.833412,2.331337,Café
Café Universel,48.841676,2.341504,Bar
Cubana Café,48.842636,2.328927,Gastropub
Café Vavin,48.844003,2.330357,Bar
Le Café d'Avant,48.839675,2.347257,Restaurant
Café Bar d'Orléans,48.830215,2.329143,Bar
Café la Bohème,48.841122,2.323882,Café
Le Maine Café,48.83795,2.322305,Bar
Bar de la Croix Rouge,48.85221,2.329738,French Restaurant
Le Bar des Prés,48.85279,2.330606,Diner
Café Louise,48.853783,2.33224,Café
Café Mabillon,48.853326,2.335748,Brasserie
Le Café de la Grande Épicerie,48.850499,2.323885,Cupcake Shop
Bar du Marché,48.853981,2.337091,Bar
Galette Café,48.856481,2.331553,Café
Café de Paris,48.853887,2.337464,French Restaurant
Breizh Café,48.851598,2.33883,Restaurant
Café Varenne,48.854144,2.323684,Bar
Café Varenne,48.854144,2.323684,Bar
Bar de la Croix Rouge,48.85221,2.329738,French Restaurant
Le Bar des Prés,48.85279,2.330606,Diner
Le Café de la Grande Épicerie,48.850499,2.323885,Cupcake Shop
Café Louise,48.853783,2.33224,Café
Galette Café,48.856481,2.331553,Café
Café de l'Empire,48.858265,2.328504,Gastropub
Coutume Café,48.851638,2.318381,Café
Le Drop Café,48.858133,2.322574,Pizzeria
Café Mabillon,48.853326,2.335748,Brasserie
Café Delmas,48.844669,2.349423,Bar
Dealer de Café,48.842237,2.349927,Coffee Shop
Nuance Café,48.845107,2.354849,Coffee Shop
Café Jussieu,48.845432,2.354788,Café
Strada Café,48.846922,2.351219,Café
Le Petit Café,48.847192,2.348459,Café
Café Saint-Victor,48.848416,2.350404,Bar
Café de la Nouvelle Mairie,48.845464,2.344831,Café
Jozi Café,48.847791,2.347102,Bar
Le Café d'Avant,48.839675,2.347257,Restaurant
Café Trama,48.847521,2.323027,Bistro
Couleur Café,48.848152,2.319797,Coffee Shop
Dream Café,48.844946,2.321381,Bar
Café Montparnasse,48.844215,2.323519,Bar
Café Saint-Placide,48.846754,2.326949,Café
Le Café de la Grande Épicerie,48.850499,2.323885,Cupcake Shop
Montparnasse Café,48.843317,2.320223,Brasserie
Coutume Café,48.851638,2.318381,Café
360 Cafe,48.842087,2.322144,Café
L'Adada Bar,48.840565,2.322254,Bar
Café de la Paix,48.920605,2.377184,Bar
